url,final_url,status,path,bytes,sha256,content_type,error
https://www-mdp.eng.cam.ac.uk/web/library/enginfo/reports/How_to_write_a_paper_2005.pdf,https://www-mdp.eng.cam.ac.uk/web/library/enginfo/reports/How_to_write_a_paper_2005.pdf,downloaded,doc\writing\How_to_write_a_paper_2005.pdf,1159165,e4062bde56b49972e3f769770e133be9d685a287a344f9bf52cdec8870ddef31,application/pdf,
https://jmlr.csail.mit.edu/reviewing-papers/knuth_mathematical_writing.pdf,https://jmlr.csail.mit.edu/reviewing-papers/knuth_mathematical_writing.pdf,downloaded,doc\writing\knuth_mathematical_writing.pdf,555031,9bf404c2c75633a1f39aae97af0b2e9335ce6d83cf386c84906654589b4e82e6,application/pdf,
https://www.gatsby.ucl.ac.uk/~pel/misc/gopen_swan.pdf,https://www.gatsby.ucl.ac.uk/~pel/misc/gopen_swan.pdf,downloaded,doc\writing\gopen_swan.pdf,94614,65f0e5bec4889ceb974b6ed012bd26b061187f423f8c4f51ddcc26ab3399120b,application/pdf,
https://poorvucenter.yale.edu/sites/default/files/2025-02/hows_to_write_your_first_research_paper_2011.pdf,https://poorvucenter.yale.edu/sites/default/files/2025-02/hows_to_write_your_first_research_paper_2011.pdf,downloaded,doc\writing\hows_to_write_your_first_research_paper_2011.pdf,230980,fdd5ceba97a09f8b64f4fba9e4a190f834aeca5c22f4c6808061d19555c5655c,application/pdf,
https://s3.amazonaws.com/files.commons.gc.cuny.edu/wp-content/blogs.dir/8642/files/2021/06/ScienceWritingGuide-digital_final-1.pdf,https://s3.amazonaws.com/files.commons.gc.cuny.edu/wp-content/blogs.dir/8642/files/2021/06/ScienceWritingGuide-digital_final-1.pdf,downloaded,doc\writing\ScienceWritingGuide-digital_final-1.pdf,205613,286b944760852af18b9fa0887919523cbed20b0817b9b387bbfc5076e23610c6,application/pdf,
https://www.bates.edu/biology/files/2010/06/How-to-Write-Guide-v10-2014.pdf,https://www.bates.edu/biology/files/2010/06/How-to-Write-Guide-v10-2014.pdf,downloaded,doc\writing\How-to-Write-Guide-v10-2014.pdf,2607191,e8b724db3b0975ce684a0693a65f9a40084674ef2c30273814f8bf02c383f62a,application/pdf,
https://www.bates.edu/biology/files/2010/06/Word-Usage-in-Scientific-Writing.pdf,https://www.bates.edu/biology/files/2010/06/Word-Usage-in-Scientific-Writing.pdf,downloaded,doc\writing\Word-Usage-in-Scientific-Writing.pdf,2742109,6d6f730de77c8ed32676dc0b433aff8a0e47794954d27e0c9d437572e5f2af65,application/pdf,
https://ocw.mit.edu/courses/21w-794-graduate-technical-writing-workshop-january-iap-2019/a55a0e94c987d420299bbd84d425b824_MIT21W_794IAP19_lec4.pdf,https://ocw.mit.edu/courses/21w-794-graduate-technical-writing-workshop-january-iap-2019/a55a0e94c987d420299bbd84d425b824_MIT21W_794IAP19_lec4.pdf,downloaded,doc\writing\a55a0e94c987d420299bbd84d425b824_MIT21W_794IAP19_lec4.pdf,955504,194ac03784766e474a33867d639ea031d77737e97df5e711fbde3ef89649ded6,application/pdf,
https://mcnair.siu.edu/_common/documents/summer-research-inst/free-download-useful-phrases11.pdf,https://mcnair.siu.edu/_common/documents/summer-research-inst/free-download-useful-phrases11.pdf,downloaded,doc\writing\free-download-useful-phrases11.pdf,409477,eca31bb3d10488828d61e8572406ebae0d8b30f33b277b99a6dbefe6b4747de0,application/pdf,
https://ntrs.nasa.gov/api/citations/19900017394/downloads/19900017394.pdf,https://ntrs.nasa.gov/api/citations/19900017394/downloads/19900017394.pdf,downloaded,doc\writing\19900017394.pdf,3958866,7f01d4866851c45323875fdb7e51b5fd947a9ee56d8f3d40426a3aba33a13518,application/pdf,
